a;b;c;result
15;108;57;둔각
1;34;145;둔각
34;9;137;둔각
19;56;105;둔각
15;124;41;둔각
65;47;68;예각
12;124;44;둔각
20;141;19;둔각
2;77;101;둔각
69;77;34;예각
73;46;61;예각
59;110;11;둔각
95;64;21;둔각
134;44;2;둔각
10;73;97;둔각
98;20;62;둔각
61;99;20;둔각
31;114;35;둔각
80;70;30;예각
66;85;29;예각
7;151;22;둔각
51;22;107;둔각
42;96;42;둔각
33;119;28;둔각
19;60;101;둔각
70;65;45;예각
50;118;12;둔각
75;84;21;예각
29;15;136;둔각
82;49;49;예각
6;92;82;둔각
133;6;41;둔각
17;132;31;둔각
61;12;107;둔각
24;12;144;둔각
3;53;124;둔각
30;120;30;둔각
70;75;35;예각
31;65;84;예각
17;32;131;둔각
1;13;166;둔각
8;162;10;둔각
124;46;10;둔각
6;132;42;둔각
103;41;36;둔각
125;48;7;둔각
22;128;30;둔각
54;103;23;둔각
42;37;101;둔각
7;80;93;둔각
9;109;62;둔각
109;28;43;둔각
14;137;29;둔각
76;53;51;예각
61;48;71;예각
3;131;46;둔각
68;61;51;예각
162;2;16;둔각
4;96;80;둔각
74;19;87;예각
21;147;12;둔각
56;45;79;예각
16;28;136;둔각
4;143;33;둔각
59;113;8;둔각
32;14;134;둔각
23;93;64;둔각
60;49;71;예각
82;22;76;예각
83;71;26;예각
67;14;99;둔각
22;37;121;둔각
129;24;27;둔각
38;94;48;둔각
64;6;110;둔각
64;46;70;예각
71;16;93;둔각
12;99;69;둔각
30;51;99;둔각
116;61;3;둔각
72;100;8;둔각
168;9;3;둔각
29;111;40;둔각
63;27;90;직각
46;114;20;둔각
44;88;48;예각
12;116;52;둔각
41;63;76;예각
106;29;45;둔각
4;147;29;둔각
22;56;102;둔각
41;116;23;둔각
44;126;10;둔각
134;43;3;둔각
122;50;8;둔각
29;139;12;둔각
68;81;31;예각
164;13;3;둔각
172;1;7;둔각
11;6;163;둔각
54;89;37;예각
47;43;90;직각
19;153;8;둔각
33;70;77;예각
59;29;92;둔각
95;24;61;둔각
18;19;143;둔각
109;25;46;둔각
82;62;36;예각
145;15;20;둔각
48;88;44;예각
20;101;59;둔각
64;114;2;둔각
64;74;42;예각
154;11;15;둔각
8;171;1;둔각
53;82;45;예각
126;6;48;둔각
42;22;116;둔각
53;72;55;예각
19;50;111;둔각
28;28;124;둔각
130;13;37;둔각
107;25;48;둔각
1;9;170;둔각
30;82;68;예각
61;104;15;둔각
94;28;58;둔각
31;147;2;둔각
19;132;29;둔각
33;6;141;둔각
8;40;132;둔각
7;168;5;둔각
49;65;66;예각
65;64;51;예각
11;63;106;둔각
80;55;45;예각
18;138;24;둔각
87;22;71;예각
48;27;105;둔각
46;133;1;둔각
133;45;2;둔각
14;143;23;둔각
37;28;115;둔각
102;4;74;둔각
55;114;11;둔각
39;58;83;예각
69;59;52;예각
4;110;66;둔각
128;18;34;둔각
90;45;45;직각
12;73;95;둔각
32;139;9;둔각
117;39;24;둔각
68;51;61;예각
12;130;38;둔각
4;129;47;둔각
22;53;105;둔각
57;73;50;예각
97;40;43;둔각
101;34;45;둔각
77;80;23;예각
91;83;6;둔각
119;32;29;둔각
84;18;78;예각
31;29;120;둔각
39;92;49;둔각
8;19;153;둔각
2;166;12;둔각
54;124;2;둔각
44;94;42;둔각
82;63;35;예각
48;40;92;둔각
23;91;66;둔각
8;144;28;둔각
75;4;101;둔각
11;36;133;둔각
135;8;37;둔각
42;122;16;둔각
85;88;7;예각
91;54;35;둔각
41;121;18;둔각
39;60;81;예각
8;125;47;둔각
8;166;6;둔각
25;33;122;둔각
92;25;63;둔각
124;37;19;둔각
64;89;27;예각
45;6;129;둔각
32;129;19;둔각
59;61;60;예각
44;106;30;둔각
32;10;138;둔각
78;20;82;예각
110;33;37;둔각
165;7;8;둔각
84;33;63;예각
113;36;31;둔각
58;36;86;예각
51;87;42;예각
4;80;96;둔각
44;102;34;둔각
5;79;96;둔각
114;49;17;둔각
113;39;28;둔각
22;157;1;둔각
76;54;50;예각
19;136;25;둔각
27;91;62;둔각
44;72;64;예각
62;95;23;둔각
22;86;72;예각
101;37;42;둔각
125;47;8;둔각
17;74;89;예각
11;103;66;둔각
5;52;123;둔각
118;46;16;둔각
47;67;66;예각
121;2;57;둔각
10;80;90;직각
79;97;4;둔각
79;65;36;예각
137;5;38;둔각
44;18;118;둔각
105;38;37;둔각
66;112;2;둔각
2;135;43;둔각
6;18;156;둔각
72;22;86;예각
133;11;36;둔각
112;37;31;둔각
92;87;1;둔각
91;80;9;둔각
101;75;4;둔각
41;133;6;둔각
127;18;35;둔각
106;12;62;둔각
41;55;84;예각
29;49;102;둔각
43;43;94;둔각
177;1;2;둔각
30;107;43;둔각
5;18;157;둔각
57;45;78;예각
23;145;12;둔각
56;100;24;둔각
78;41;61;예각
91;78;11;둔각
14;11;155;둔각
80;84;16;예각
154;20;6;둔각
98;29;53;둔각
1;159;20;둔각
134;30;16;둔각
19;137;24;둔각
58;114;8;둔각
76;88;16;예각
16;1;163;둔각
3;92;85;둔각
32;80;68;예각
75;73;32;예각
46;41;93;둔각
50;109;21;둔각
38;16;126;둔각
152;5;23;둔각
25;62;93;둔각
17;41;122;둔각
5;78;97;둔각
2;19;159;둔각
1;174;5;둔각
6;115;59;둔각
92;6;82;둔각
92;41;47;둔각
21;119;40;둔각
33;19;128;둔각
50;101;29;둔각
100;2;78;둔각
67;24;89;예각
107;13;60;둔각
36;96;48;둔각
16;99;65;둔각
107;48;25;둔각
58;94;28;둔각
76;4;100;둔각
14;147;19;둔각
45;38;97;둔각
35;35;110;둔각
113;52;15;둔각
33;77;70;예각
127;45;8;둔각
74;13;93;둔각
10;25;145;둔각
87;60;33;예각
73;78;29;예각
86;42;52;예각
26;99;55;둔각
23;137;20;둔각
81;6;93;둔각
60;89;31;예각
77;8;95;둔각
75;20;85;예각
77;95;8;둔각
37;21;122;둔각
26;16;138;둔각
84;34;62;예각
30;130;20;둔각
24;14;142;둔각
62;27;91;둔각
122;55;3;둔각
44;104;32;둔각
121;24;35;둔각
40;133;7;둔각
42;128;10;둔각
4;78;98;둔각
50;1;129;둔각
2;103;75;둔각
72;99;9;둔각
81;94;5;둔각
131;21;28;둔각
58;74;48;예각
71;55;54;예각
90;41;49;직각
43;7;130;둔각
5;98;77;둔각
28;3;149;둔각
17;42;121;둔각
8;133;39;둔각
127;42;11;둔각
65;54;61;예각
113;50;17;둔각
36;52;92;둔각
16;147;17;둔각
6;28;146;둔각
79;11;90;직각
16;156;8;둔각
53;68;59;예각
47;40;93;둔각
42;4;134;둔각
116;2;62;둔각
136;27;17;둔각
80;68;32;예각
91;64;25;둔각
163;11;6;둔각
93;79;8;둔각
155;11;14;둔각
77;5;98;둔각
16;153;11;둔각
56;98;26;둔각
67;18;95;둔각
5;33;142;둔각
25;44;111;둔각
20;125;35;둔각
27;30;123;둔각
22;26;132;둔각
112;66;2;둔각
41;41;98;둔각
100;30;50;둔각
40;36;104;둔각
2;147;31;둔각
17;40;123;둔각
158;5;17;둔각
58;99;23;둔각
116;16;48;둔각
104;67;9;둔각
4;127;49;둔각
49;102;29;둔각
68;87;25;예각
83;29;68;예각
51;101;28;둔각
42;69;69;예각
101;11;68;둔각
60;19;101;둔각
90;81;9;직각
23;31;126;둔각
24;133;23;둔각
123;4;53;둔각
15;128;37;둔각
10;138;32;둔각
3;2;175;둔각
69;69;42;예각
44;77;59;예각
32;142;6;둔각
65;84;31;예각
69;64;47;예각
45;32;103;둔각
47;63;70;예각
2;124;54;둔각
38;47;95;둔각
165;8;7;둔각
23;130;27;둔각
47;22;111;둔각
77;87;16;예각
128;15;37;둔각
43;67;70;예각
52;95;33;둔각
64;59;57;예각
8;152;20;둔각
62;116;2;둔각
113;66;1;둔각
108;20;52;둔각
10;121;49;둔각
21;65;94;둔각
125;20;35;둔각
32;95;53;둔각
20;87;73;예각
29;131;20;둔각
38;18;124;둔각
71;4;105;둔각
12;95;73;둔각
93;40;47;둔각
3;153;24;둔각
21;122;37;둔각
142;20;18;둔각
65;25;90;직각
3;51;126;둔각
22;81;77;예각
40;97;43;둔각
23;70;87;예각
13;26;141;둔각
30;14;136;둔각
89;87;4;예각
2;94;84;둔각
54;104;22;둔각
35;5;140;둔각
89;60;31;예각
28;92;60;둔각
69;81;30;예각
139;8;33;둔각
21;134;25;둔각
97;34;49;둔각
141;2;37;둔각
172;3;5;둔각
114;26;40;둔각
2;15;163;둔각
15;164;1;둔각
56;68;56;예각
126;11;43;둔각
73;79;28;예각
19;122;39;둔각
87;37;56;예각
16;131;33;둔각
7;140;33;둔각
3;148;29;둔각
46;105;29;둔각
126;23;31;둔각
129;21;30;둔각
25;106;49;둔각
85;54;41;예각
110;61;9;둔각
69;49;62;예각
45;127;8;둔각
13;107;60;둔각
111;20;49;둔각
105;60;15;둔각
20;132;28;둔각
23;24;133;둔각
34;81;65;예각
56;88;36;예각
50;108;22;둔각
129;12;39;둔각
148;2;30;둔각
65;80;35;예각
72;101;7;둔각
13;39;128;둔각
11;124;45;둔각
11;100;69;둔각
71;54;55;예각
10;71;99;둔각
97;23;60;둔각
54;34;92;둔각
55;34;91;둔각
45;49;86;예각
20;51;109;둔각
106;20;54;둔각
21;76;83;예각
98;27;55;둔각
93;73;14;둔각
146;2;32;둔각
47;129;4;둔각
2;164;14;둔각
111;44;25;둔각
24;58;98;둔각
97;52;31;둔각
6;152;22;둔각
84;95;1;둔각
15;17;148;둔각
98;75;7;둔각
49;19;112;둔각
108;10;62;둔각
33;118;29;둔각
4;131;45;둔각
31;78;71;예각
61;106;13;둔각
26;35;119;둔각
35;138;7;둔각
38;2;140;둔각
18;81;81;예각
124;44;12;둔각
25;73;82;예각
27;14;139;둔각
36;106;38;둔각
14;134;32;둔각
61;111;8;둔각
40;62;78;예각
64;93;23;둔각
15;145;20;둔각
163;15;2;둔각
128;41;11;둔각
63;38;79;예각
95;54;31;둔각
43;133;4;둔각
95;12;73;둔각
18;53;109;둔각
56;6;118;둔각
42;66;72;예각
76;69;35;예각
1;154;25;둔각
44;32;104;둔각
110;3;67;둔각
2;31;147;둔각
5;29;146;둔각
15;16;149;둔각
38;116;26;둔각
22;75;83;예각
131;2;47;둔각
33;136;11;둔각
9;62;109;둔각
73;11;96;둔각
61;100;19;둔각
110;67;3;둔각
92;70;18;둔각
11;37;132;둔각
39;73;68;예각
56;117;7;둔각
3;114;63;둔각
56;24;100;둔각
13;36;131;둔각
32;20;128;둔각
5;108;67;둔각
17;158;5;둔각
82;42;56;예각
68;68;44;예각
38;99;43;둔각
49;81;50;예각
129;39;12;둔각
7;115;58;둔각
46;35;99;둔각
56;77;47;예각
55;56;69;예각
27;135;18;둔각
33;5;142;둔각
21;86;73;예각
9;169;2;둔각
73;49;58;예각
28;125;27;둔각
55;19;106;둔각
66;87;27;예각
29;31;120;둔각
104;56;20;둔각
17;43;120;둔각
144;1;35;둔각
17;79;84;예각
33;34;113;둔각
63;30;87;예각
57;83;40;예각
71;49;60;예각
8;65;107;둔각
102;22;56;둔각
17;11;152;둔각
6;64;110;둔각
100;11;69;둔각
125;3;52;둔각
57;35;88;예각
55;80;45;예각
42;134;4;둔각
133;43;4;둔각
63;69;48;예각
61;58;61;예각
19;81;80;예각
84;69;27;예각
62;104;14;둔각
40;2;138;둔각
54;5;121;둔각
64;86;30;예각
47;58;75;예각
21;78;81;예각
94;25;61;둔각
46;47;87;예각
33;83;64;예각
128;22;30;둔각
139;4;37;둔각
97;37;46;둔각
132;43;5;둔각
5;16;159;둔각
43;73;64;예각
61;96;23;둔각
45;2;133;둔각
1;78;101;둔각
130;39;11;둔각
78;26;76;예각
93;4;83;둔각
119;46;15;둔각
127;34;19;둔각
48;44;88;예각
54;114;12;둔각
42;84;54;예각
139;12;29;둔각
1;156;23;둔각
44;10;126;둔각
6;12;162;둔각
25;34;121;둔각
30;63;87;예각
51;2;127;둔각
65;57;58;예각
131;1;48;둔각
37;80;63;예각
21;51;108;둔각
83;45;52;예각
76;91;13;둔각
42;5;133;둔각
79;30;71;예각
37;84;59;예각
23;127;30;둔각
14;67;99;둔각
4;112;64;둔각
20;151;9;둔각
5;110;65;둔각
94;58;28;둔각
42;82;56;예각
143;32;5;둔각
107;29;44;둔각
171;2;7;둔각
53;46;81;예각
55;96;29;둔각
114;16;50;둔각
20;65;95;둔각
95;32;53;둔각
129;30;21;둔각
167;10;3;둔각
32;45;103;둔각
84;72;24;예각
4;59;117;둔각
50;24;106;둔각
3;16;161;둔각
23;111;46;둔각
48;3;129;둔각
45;112;23;둔각
15;114;51;둔각
159;12;9;둔각
8;112;60;둔각
64;99;17;둔각
36;17;127;둔각
118;48;14;둔각
42;15;123;둔각
152;22;6;둔각
103;48;29;둔각
7;85;88;예각
19;105;56;둔각
115;50;15;둔각
42;51;87;예각
74;50;56;예각
34;57;89;예각
52;45;83;예각
42;127;11;둔각
94;69;17;둔각
17;3;160;둔각
49;120;11;둔각
22;71;87;예각
19;113;48;둔각
80;13;87;예각
21;14;145;둔각
6;149;25;둔각
31;59;90;직각
62;84;34;예각
19;32;129;둔각
112;10;58;둔각
150;23;7;둔각
24;112;44;둔각
91;35;54;둔각
124;33;23;둔각
67;12;101;둔각
66;13;101;둔각
2;12;166;둔각
102;28;50;둔각
38;71;71;예각
121;12;47;둔각
146;11;23;둔각
17;119;44;둔각
49;3;128;둔각
76;72;32;예각
22;104;54;둔각
77;75;28;예각
60;70;50;예각
1;111;68;둔각
13;152;15;둔각
146;18;16;둔각
63;94;23;둔각
28;88;64;예각
39;52;89;예각
38;62;80;예각
58;2;120;둔각
133;21;26;둔각
15;29;136;둔각
83;28;69;예각
121;15;44;둔각
21;29;130;둔각
114;55;11;둔각
75;93;12;둔각
51;96;33;둔각
77;70;33;예각
132;24;24;둔각
13;67;100;둔각
25;26;129;둔각
48;26;106;둔각
128;28;24;둔각
57;97;26;둔각
30;88;62;예각
74;3;103;둔각
3;126;51;둔각
53;76;51;예각
1;135;44;둔각
64;94;22;둔각
16;3;161;둔각
56;23;101;둔각
59;74;47;예각
73;54;53;예각
136;14;30;둔각
90;27;63;직각
132;1;47;둔각
83;64;33;예각
154;18;8;둔각
27;20;133;둔각
5;85;90;직각
108;69;3;둔각
88;6;86;예각
120;21;39;둔각
95;5;80;둔각
31;39;110;둔각
60;96;24;둔각
122;39;19;둔각
63;77;40;예각
59;102;19;둔각
61;116;3;둔각
105;20;55;둔각
86;91;3;둔각
36;68;76;예각
125;15;40;둔각
90;13;77;직각
31;136;13;둔각
138;34;8;둔각
43;68;69;예각
19;59;102;둔각
86;59;35;예각
89;90;1;직각
128;48;4;둔각
93;65;22;둔각
65;79;36;예각
166;6;8;둔각
164;4;12;둔각
79;75;26;예각
52;112;16;둔각
100;64;16;둔각
19;103;58;둔각
57;33;90;직각
14;165;1;둔각
14;144;22;둔각
66;32;82;예각
31;97;52;둔각
79;31;70;예각
64;34;82;예각
30;33;117;둔각
56;82;42;예각
11;147;22;둔각
160;2;18;둔각
76;35;69;예각
54;43;83;예각
92;13;75;둔각
75;55;50;예각
118;53;9;둔각
142;7;31;둔각
41;1;138;둔각
46;68;66;예각
12;98;70;둔각
62;32;86;예각
51;56;73;예각
113;51;16;둔각
73;41;66;예각
111;6;63;둔각
21;141;18;둔각
51;62;67;예각
81;40;59;예각
11;109;60;둔각
106;63;11;둔각
28;114;38;둔각
97;51;32;둔각
40;75;65;예각
6;142;32;둔각
95;62;23;둔각
96;13;71;둔각
99;31;50;둔각
13;112;55;둔각
143;12;25;둔각
30;39;111;둔각
1;18;161;둔각
20;12;148;둔각
22;5;153;둔각
50;116;14;둔각
145;13;22;둔각
59;91;30;둔각
29;94;57;둔각
33;120;27;둔각
94;62;24;둔각
69;51;60;예각
8;159;13;둔각
7;106;67;둔각
111;12;57;둔각
41;32;107;둔각
72;53;55;예각
116;50;14;둔각
3;63;114;둔각
17;5;158;둔각
11;118;51;둔각
92;49;39;둔각
52;53;75;예각
52;102;26;둔각
49;98;33;둔각
48;9;123;둔각
75;44;61;예각
18;143;19;둔각
47;7;126;둔각
36;91;53;둔각
19;159;2;둔각
45;90;45;직각
99;73;8;둔각
14;33;133;둔각
27;46;107;둔각
64;96;20;둔각
22;18;140;둔각
145;16;19;둔각
40;34;106;둔각
81;24;75;예각
27;24;129;둔각
116;4;60;둔각
14;99;67;둔각
133;12;35;둔각
118;45;17;둔각
32;2;146;둔각
11;58;111;둔각
50;65;65;예각
5;14;161;둔각
4;153;23;둔각
24;106;50;둔각
8;37;135;둔각
97;63;20;둔각
158;19;3;둔각
75;97;8;둔각
39;16;125;둔각
88;69;23;예각
60;68;52;예각
103;40;37;둔각
133;14;33;둔각
67;27;86;예각
48;4;128;둔각
65;109;6;둔각
64;88;28;예각
76;96;8;둔각
35;125;20;둔각
23;128;29;둔각
83;82;15;예각
142;36;2;둔각
97;29;54;둔각
48;16;116;둔각
8;108;64;둔각
98;28;54;둔각
99;52;29;둔각
162;3;15;둔각
98;67;15;둔각
56;56;68;예각
37;112;31;둔각
1;16;163;둔각
44;92;44;둔각
24;78;78;예각
14;91;75;둔각
2;104;74;둔각
13;18;149;둔각
18;12;150;둔각
34;128;18;둔각
5;154;21;둔각
105;43;32;둔각
170;9;1;둔각
68;65;47;예각
54;108;18;둔각
81;33;66;예각
124;10;46;둔각
10;90;80;직각
101;76;3;둔각
89;19;72;예각
79;59;42;예각
73;98;9;둔각
80;44;56;예각
144;34;2;둔각
12;86;82;예각
83;76;21;예각
141;7;32;둔각
70;66;44;예각
16;125;39;둔각
22;59;99;둔각
28;103;49;둔각
30;26;124;둔각
1;88;91;둔각
43;77;60;예각
8;110;62;둔각
81;51;48;예각
67;55;58;예각
30;37;113;둔각
3;27;150;둔각
163;10;7;둔각
49;82;49;예각
22;77;81;예각
53;30;97;둔각
56;115;9;둔각
45;113;22;둔각
8;109;63;둔각
109;36;35;둔각
90;76;14;직각
102;20;58;둔각
27;92;61;둔각
66;100;14;둔각
27;129;24;둔각
66;110;4;둔각
4;167;9;둔각
56;66;58;예각
63;43;74;예각
68;107;5;둔각
103;10;67;둔각
18;99;63;둔각
16;130;34;둔각
145;29;6;둔각
77;25;78;예각
3;86;91;둔각
78;74;28;예각
34;106;40;둔각
49;73;58;예각
10;98;72;둔각
32;147;1;둔각
40;32;108;둔각
31;107;42;둔각
40;106;34;둔각
100;61;19;둔각
7;53;120;둔각
13;147;20;둔각
42;106;32;둔각
76;97;7;둔각
21;125;34;둔각
68;43;69;예각
9;97;74;둔각
32;116;32;둔각
109;35;36;둔각
12;34;134;둔각
25;19;136;둔각
76;29;75;예각
108;70;2;둔각
9;157;14;둔각
76;95;9;둔각
134;34;12;둔각
30;102;48;둔각
101;30;49;둔각
70;74;36;예각
44;53;83;예각
126;3;51;둔각
1;32;147;둔각
4;39;137;둔각
35;113;32;둔각
16;158;6;둔각
108;18;54;둔각
10;93;77;둔각
49;58;73;예각
5;58;117;둔각
141;36;3;둔각
12;117;51;둔각
38;104;38;둔각
31;28;121;둔각
131;14;35;둔각
24;89;67;예각
2;109;69;둔각
30;71;79;예각
13;117;50;둔각
52;29;99;둔각
78;22;80;예각
71;65;44;예각
4;133;43;둔각
16;75;89;예각
17;46;117;둔각
61;10;109;둔각
63;40;77;예각
133;26;21;둔각
3;127;50;둔각
37;49;94;둔각
99;3;78;둔각
135;44;1;둔각
9;46;125;둔각
111;14;55;둔각
28;139;13;둔각
76;18;86;예각
92;26;62;둔각
13;97;70;둔각
14;2;164;둔각
39;64;77;예각
5;69;106;둔각
67;3;110;둔각
22;136;22;둔각
22;91;67;둔각
59;13;108;둔각
11;88;81;예각
16;102;62;둔각
91;7;82;둔각
28;49;103;둔각
18;77;85;예각
158;10;12;둔각
81;44;55;예각
43;15;122;둔각
110;55;15;둔각
33;59;88;예각
113;56;11;둔각
140;30;10;둔각
97;14;69;둔각
72;96;12;둔각
23;1;156;둔각
76;65;39;예각
31;20;129;둔각
136;25;19;둔각
91;60;29;둔각
33;8;139;둔각
53;101;26;둔각
118;22;40;둔각
44;110;26;둔각
125;49;6;둔각
29;47;104;둔각
71;67;42;예각
97;17;66;둔각
3;54;123;둔각
85;57;38;예각
53;47;80;예각
74;70;36;예각
9;162;9;둔각
103;34;43;둔각
46;124;10;둔각
19;48;113;둔각
61;68;51;예각
58;4;118;둔각
52;24;104;둔각
102;25;53;둔각
26;105;49;둔각
71;64;45;예각
132;14;34;둔각
31;128;21;둔각
96;78;6;둔각
8;126;46;둔각
65;41;74;예각
104;12;64;둔각
81;25;74;예각
7;67;106;둔각
56;5;119;둔각
57;115;8;둔각
27;90;63;직각
102;63;15;둔각
77;99;4;둔각
18;44;118;둔각
57;31;92;둔각
86;58;36;예각
31;55;94;둔각
77;23;80;예각
91;23;66;둔각
12;136;32;둔각
68;77;35;예각
77;65;38;예각
2;134;44;둔각
30;144;6;둔각
26;132;22;둔각
69;93;18;둔각
58;120;2;둔각
107;71;2;둔각
54;101;25;둔각
11;146;23;둔각
93;41;46;둔각
52;25;103;둔각
103;17;60;둔각
34;94;52;둔각
16;134;30;둔각
84;71;25;예각
69;106;5;둔각
4;51;125;둔각
46;127;7;둔각
62;41;77;예각
119;50;11;둔각
9;78;93;둔각
33;54;93;둔각
71;33;76;예각
90;84;6;직각
64;21;95;둔각
18;92;70;둔각
26;7;147;둔각
27;66;87;예각
77;84;19;예각
101;17;62;둔각
112;55;13;둔각
45;72;63;예각
49;122;9;둔각
42;28;110;둔각
5;109;66;둔각
44;11;125;둔각
25;154;1;둔각
126;40;14;둔각
48;57;75;예각
84;94;2;둔각
11;68;101;둔각
158;17;5;둔각
49;72;59;예각
47;73;60;예각
124;15;41;둔각
54;92;34;둔각
16;4;160;둔각
71;50;59;예각
12;78;90;직각
103;15;62;둔각
13;103;64;둔각
36;57;87;예각
62;55;63;예각
24;36;120;둔각
60;38;82;예각
124;24;32;둔각
6;40;134;둔각
70;31;79;예각
102;59;19;둔각
9;75;96;둔각
57;94;29;둔각
29;43;108;둔각
68;18;94;둔각
34;26;120;둔각
20;47;113;둔각
63;18;99;둔각
57;14;109;둔각
14;75;91;둔각
80;40;60;예각
3;79;98;둔각
80;62;38;예각
73;63;44;예각
31;81;68;예각
7;25;148;둔각
23;135;22;둔각
70;30;80;예각
124;22;34;둔각
53;70;57;예각
96;34;50;둔각
121;47;12;둔각
89;63;28;예각
5;128;47;둔각
75;6;99;둔각
35;114;31;둔각
22;62;96;둔각
45;124;11;둔각
35;21;124;둔각
26;145;9;둔각
86;87;7;예각
79;91;10;둔각
93;75;12;둔각
111;35;34;둔각
83;54;43;예각
72;87;21;예각
35;38;107;둔각
78;8;94;둔각
24;8;148;둔각
85;32;63;예각
22;61;97;둔각
45;23;112;둔각
2;70;108;둔각
81;16;83;예각
78;12;90;직각
139;40;1;둔각
7;20;153;둔각
6;144;30;둔각
100;35;45;둔각
82;96;2;둔각
2;57;121;둔각
6;2;172;둔각
51;66;63;예각
55;53;72;예각
86;60;34;예각
33;14;133;둔각
109;7;64;둔각
68;80;32;예각
86;24;70;예각
65;59;56;예각
109;33;38;둔각
118;14;48;둔각
85;29;66;예각
160;11;9;둔각
119;45;16;둔각
73;92;15;둔각
92;10;78;둔각
44;46;90;직각
33;89;58;예각
102;46;32;둔각
43;29;108;둔각
45;13;122;둔각
164;6;10;둔각
104;8;68;둔각
105;34;41;둔각
152;15;13;둔각
69;94;17;둔각
123;38;19;둔각
44;58;78;예각
15;110;55;둔각
170;4;6;둔각
51;6;123;둔각
50;13;117;둔각
26;79;75;예각
85;58;37;예각
58;103;19;둔각
87;13;80;예각
58;70;52;예각
117;61;2;둔각
66;70;44;예각
144;3;33;둔각
102;67;11;둔각
96;40;44;둔각
129;49;2;둔각
103;36;41;둔각
140;34;6;둔각
111;26;43;둔각
13;16;151;둔각
67;11;102;둔각
92;57;31;둔각
35;140;5;둔각
119;38;23;둔각
49;130;1;둔각
12;156;12;둔각
5;137;38;둔각
27;68;85;예각
106;49;25;둔각
19;36;125;둔각
24;144;12;둔각
158;20;2;둔각
130;40;10;둔각
22;23;135;둔각
102;58;20;둔각
125;30;25;둔각
107;62;11;둔각
60;57;63;예각
10;32;138;둔각
72;38;70;예각
9;95;76;둔각
14;69;97;둔각
85;65;30;예각
18;75;87;예각
47;2;131;둔각
13;54;113;둔각
59;38;83;예각
122;51;7;둔각
52;3;125;둔각
68;62;50;예각
33;125;22;둔각
6;106;68;둔각
52;109;19;둔각
24;104;52;둔각
5;169;6;둔각
67;96;17;둔각
19;64;97;둔각
157;1;22;둔각
36;129;15;둔각
9;119;52;둔각
121;40;19;둔각
121;48;11;둔각
118;38;24;둔각
26;115;39;둔각
52;46;82;예각
52;56;72;예각
51;67;62;예각
74;84;22;예각
40;6;134;둔각
108;64;8;둔각
161;10;9;둔각
34;121;25;둔각
68;67;45;예각
48;23;109;둔각
49;60;71;예각
87;67;26;예각
75;102;3;둔각
75;76;29;예각
74;1;105;둔각
59;46;75;예각
52;122;6;둔각
36;134;10;둔각
82;44;54;예각
40;78;62;예각
60;6;114;둔각
3;52;125;둔각
28;120;32;둔각
10;168;2;둔각
57;36;87;예각
63;100;17;둔각
8;103;69;둔각
66;31;83;예각
38;119;23;둔각
16;136;28;둔각
82;13;85;예각
66;43;71;예각
96;17;67;둔각
107;22;51;둔각
126;9;45;둔각
78;97;5;둔각
7;69;104;둔각
38;39;103;둔각
82;37;61;예각
10;166;4;둔각
3;172;5;둔각
19;7;154;둔각
50;113;17;둔각
133;13;34;둔각
113;6;61;둔각
72;95;13;둔각
80;73;27;예각
80;69;31;예각
55;8;117;둔각
44;22;114;둔각
67;80;33;예각
66;10;104;둔각
13;57;110;둔각
98;79;3;둔각
57;52;71;예각
59;25;96;둔각
37;65;78;예각
115;25;40;둔각
16;148;16;둔각
103;19;58;둔각
63;112;5;둔각
1;152;27;둔각
28;23;129;둔각
137;27;16;둔각
14;9;157;둔각
1;47;132;둔각
107;58;15;둔각
8;97;75;둔각
130;9;41;둔각
108;36;36;둔각
26;46;108;둔각
30;104;46;둔각
98;32;50;둔각
3;68;109;둔각
14;10;156;둔각
52;125;3;둔각
85;66;29;예각
83;30;67;예각
30;15;135;둔각
19;17;144;둔각
66;2;112;둔각
3;163;14;둔각
75;59;46;예각
3;120;57;둔각
5;86;89;예각
13;122;45;둔각
1;84;95;둔각
70;78;32;예각
28;85;67;예각
58;28;94;둔각
9;86;85;예각
71;58;51;예각
151;4;25;둔각
41;89;50;예각
8;13;159;둔각
38;41;101;둔각
57;2;121;둔각
6;10;164;둔각
45;22;113;둔각
13;94;73;둔각
44;39;97;둔각
144;10;26;둔각
71;11;98;둔각
38;93;49;둔각
23;105;52;둔각
29;92;59;둔각
6;45;129;둔각
28;130;22;둔각
58;13;109;둔각
17;50;113;둔각
73;91;16;둔각
79;85;16;예각
37;136;7;둔각
60;28;92;둔각
113;28;39;둔각
127;3;50;둔각
3;115;62;둔각
17;126;37;둔각
9;123;48;둔각
2;69;109;둔각
2;153;25;둔각
103;28;49;둔각
10;137;33;둔각
98;17;65;둔각
55;100;25;둔각
51;53;76;예각
22;131;27;둔각
73;50;57;예각
14;22;144;둔각
59;23;98;둔각
77;54;49;예각
56;36;88;예각
82;14;84;예각
6;42;132;둔각
156;16;8;둔각
6;24;150;둔각
23;25;132;둔각
6;9;165;둔각
11;75;94;둔각
61;66;53;예각
2;126;52;둔각
29;143;8;둔각
28;84;68;예각
21;54;105;둔각
116;35;29;둔각
76;82;22;예각
4;5;171;둔각
93;67;20;둔각
19;6;155;둔각
5;54;121;둔각
48;80;52;예각
7;91;82;둔각
74;101;5;둔각
28;77;75;예각
9;106;65;둔각
2;170;8;둔각
22;3;155;둔각
57;38;85;예각
